ID,VALUE
0017000000drCu5AAE,75
0017000000dw1hyAAA,100
0017000000dwMhKAAU,25
0017000000dwYMqAAM,- $53.1 mm
0017000000dwfNrAAI,316
0017000000dwvwqAAA,120
0017000000dxYWsAAM,250
0017000000dxoMsAAI,$225 mm
0017000000dxoN2AAI,995
0017000000dy2ovAAA,~800mm
0017000000dyET1AAM,250
0017000000f1zj5AAA,9300
0017000000f24TRAAY,- $340m
0017000000f3d1QAAQ,430
0017000000f3vDcAAI,1100
0017000000fRYiWAAW,230
0017000000fRrlXAAS,27.45
0017000000fSUr6AAG,225
0017000000fSZ6DAAW,1850
0017000000fSfhFAAS,- $239 mm
0017000000fSkpyAAC,140
0017000000gDek8AAC,55.4
0017000000gEgTfAAK,$50 
0017000000gEq6vAAC,40
0017000000gFCHiAAO,35
0017000000gG6BZAA0,24
0017000000gG6UkAAK,75
0017000000gGGMbAAO,200
0017000000gHNwyAAG,3550
0017000000gHTLzAAO,30
0017000000hLpSQAA0,3050
0017000000hM5w7AAC,162.5
0017000000hZMXaAAO,660
0017000000haDVeAAM,83.6
0017000000haxZAAAY,215
0017000000haxZZAAY,250
0017000000hazX6AAI,200
0017000000hb9T6AAI,150
0017000000hb9ZTAAY,391
0017000000hbx5IAAQ,$775 mm
0017000000hc4c2AAA,500
0017000000hcCPvAAM,$345 mm
0017000000hcGidAAE,## 200mm-1bn
0017000000hcYeqAAE,71.5
0017000000hcsCiAAI,350
0017000000jCCM0AAO,26
0017000000jCMsGAAW,800
0017000000jD74bAAC,106
0017000000rZA4wAAG,200-250 mm
0017000000jEKt6AAG,105 mm
0017000000jEPBhAAO,- $5.8 mm
0017000000jEflQAAS,102
0017000000jEg4GAAS,-$375 mm
0017000000jEl8tAAC,40
0017000000jElKLAA0,$532 mm
0017000000jEptIAAS,227
0017000000jFIh2AAG,51.7
0017000000jFMcjAAG,138
0017000000jFcUKAA0,1810
0017000000jFowXAAS,$1.9 Bn
0017000000jFti9AAC,132
0017000000js1HaAAI,75
0017000000jslzGAAQ,1250
0017000000jtZHuAAM,1078
0017000000jvkNSAAY,1500
0017000000kY3PIAA0,750
0017000000kZ2EQAA0,25
00170000011NSC7AAO,250
0017000000l9rvVAAQ,200
0017000000lA5VIAA0,206
0017000000lAhDDAA0,35
0017000000lB1tMAAS,1050
0017000000lBVwnAAG,32
0017000000lCDuCAAW,- $30.75 mm
0017000000lCDU1AAO,600
0017000000lDAWoAAO,- 441.3 mm
0017000000lhK2uAAE,800
0017000000lhcWHAAY,$85.2 mm
0017000000liXyWAAU,å£63M ($95 mm)
0017000000lic9FAAQ,- $232 mm
0017000000ljCmGAAU,750
0017000000m9l4BAAQ,"$0.5 - $10mm (Seed - B), per RJ call w/ Nan Li, 04/24/14"
0017000000m9l4pAAA,195
0017000000m9rKDAAY,2960
0017000000m9ramAAA,125
0017000000mASl0AAG,850
0017000000ma2j4AAA,- $99 mm
0017000000maUUiAAM,600
0017000000mig5GAAQ,40
0017000000mjJCEAA2,230
0017000000mkQwnAAE,850
0017000000mm8o2AAA,747
0017000000mmK5pAAE,- $356 mm
0017000000n7mHwAAI,1700
0017000000nADwYAAW,40
0017000000nAzhkAAC,107
0017000000nAzmuAAC,10
0017000000nBDSFAA4,~816
0017000000nBSEUAA4,2370
0017000000nBSW5AAO,431.53
0017000000nargJAAQ,90
0017000000nb9C3AAI,30
0017000000nbM3vAAE,550
0017000000nbMB6AAM,260
0017000000nbcClAAI,75
0017000000nbdO3AAI,490.1
0017000000nc6yeAAA,74mm
0017000000ncmvAAAQ,700
0017000000ncnHaAAI,69
0017000000ndDnyAAE,$70 MM
0017000000neeyKAAQ,-$28 mm
0017000000nest5AAA,$50 mm
0017000000nw0XIAAY,- $358 mm
0017000000nySJyAAM,100
0017000000nySXJAA2,115
0017000000nz02JAAQ,Approximately $107 MM
0017000000nzHS9AAM,$54mn
0017000000oGrIvAAK,75
0017000000oHdoWAAS,$252 
0017000000or0E7AAI,31.1
0017000000osIqwAAE,NA
0017000000p5ny2AAA,150
0017000000p6Vy4AAE,($300)
0017000000p6VzqAAE,175 Mn
0017000000p7MqoAAE,$7.02 
0017000000p7YuPAAU,150
0017000000pcbNSAAY,-$220 mm
0017000000pcolWAAQ,960
0017000000pdQ0YAAU,111
0017000000peHDKAA2,75
0017000000pexDBAAY,740
0017000000pfhI8AAI,1000
0017000000pg3cnAAA,96 mm
0017000000q3wgxAAA,726
0017000000qJFBvAAO,910
0017000000qK7VzAAK,150
0017000000qKGzuAAG,525
0017000000qL5QXAA0,160
0017000000qLAEcAAO,25.595mm
0017000000s6b5UAAQ,- $465 mm
0017000000que9HAAQ,212
0017000000qvQk9AAE,39.2
0017000000qviPuAAI,- $45 mm
0017000000qvzCsAAI,- $45 mm
0017000000qw8kOAAQ,40
0017000000qw8lgAAA,95
0017000000qwmVaAAI,802 mn
0017000000qx9HmAAI,844
0017000000rW6DxAAK,275
0017000000rW703AAC,86
0017000000rWMQpAAO,300
0017000000rX58uAAC,40
0017000000rXS7YAAW,71.6
0017000000rXzj5AAC,$1.34 bn
0017000000rYoXuAAK,125
0017000000rYochAAC,18.3
0017000000rZ2FtAAK,50
0017000000rZrxJAAS,150
0017000000s5zDWAAY,3.6
0017000000s5zFDAAY,- $8 million
0017000000s6VQUAA2,30
0017000000sbvqAAAQ,50
0017000000scEhTAAU,1160
0017000000scEhxAAE,455
0017000000sctXzAAI,150
0017000000sdWqJAAU,65.6
0017000000seat2AAA,65
0017000000sehY1AAI,1339
0017000000sesVYAAY,149
0017000000sf9i4AAA,2400
0017000000sfOm7AAE,400
0017000000t8oHmAAI,69.4
0017000000t8oJEAAY,200
0017000000t8oKNAAY,214
0017000000t8oKWAAY,116
0017000000t8oNLAAY,40
0017000000t8oW8AAI,40 mm
0017000000t8omqAAA,722
0017000000t8xJzAAI,1100
0017000000t97RaAAI,1820
0017000000t9NzMAAU,626
0017000000t9O00AAE,500
0017000000tB6YZAA0,102mm
0017000000tBI2pAAG,150
0017000000tBQYaAAO,1000
0017000000tC6O4AAK,601.1
0017000000tC6PbAAK,$250 mm
0017000000tCTJeAAO,45
0017000000tCTOKAA4,47
0017000000tCrSiAAK,500
0017000000tCrWKAA0,157
0017000000tc9o6AAA,140
0017000000tcA7kAAE,450M
0017000000tcYRWAA2,186
0017000000tcYTsAAM,100
0017000000tch6HAAQ,800
0017000000tch7eAAA,616
0017000000td3vnAAA,500
